,Species Name,Date,Area,Location,Latitude,Longitude,Length (m),Water Temp (C),Month,Day of Week
207,LONG NOSE WHALER,12/3/2016,Sunshine Coast North,Noosa,-26°22.91,153°5.56,1.2,24,March,Saturday
208,LONG NOSE WHALER,15/3/2016,Rainbow Beach,Rainbow Beach,-25°53.77,153°5.78,2.35,26,March,Tuesday
209,LONG NOSE WHALER,7/4/2016,Sunshine Coast North,Noosa,-26°22.69,153°5.58,1.1,24,April,Thursday
210,LONG NOSE WHALER,7/4/2016,Sunshine Coast North,Noosa,-26°22.91,153°5.56,1.75,24,April,Thursday
211,LONG NOSE WHALER,8/4/2016,Sunshine Coast North,Marcoola Beach,-26°34.94,153°6.15,1.23,24,April,Friday
212,LONG NOSE WHALER,4/5/2016,Sunshine Coast North,Marcoola Beach,-26°34.94,153°6.15,1.47,24,May,Wednesday
213,LONG NOSE WHALER,19/5/2016,Townsville,Horseshoe Bay,-19°6.67,146°50.54,1.3,26,May,Thursday
214,LONG NOSE WHALER,20/5/2016,Gold Coast,Burleigh Beach,-28°4.58,153°27.29,1.3,23,May,Friday
215,LONG NOSE WHALER,20/5/2016,Gold Coast,Burleigh Beach,-28°4.58,153°27.29,1.4,23,May,Friday
216,LONG NOSE WHALER,25/6/2016,Cairns,Buchans Point Beach,-16°43.59,145°39.83,0.8,25,June,Saturday
217,LONG NOSE WHALER,23/7/2016,Cairns,Clifton Beach,-16°45.54,145°40.91,0.7,23,July,Saturday
218,LONG NOSE WHALER,26/7/2016,Sunshine Coast North,Maroochydore Beach,-26°39.27,153°6.66,1,19,July,Tuesday
219,LONG NOSE WHALER,18/8/2016,Townsville,Nelly Bay,-19°10.67,146°50.97,1.2,23,August,Thursday
220,LONG NOSE WHALER,27/9/2016,Gold Coast,Currumbin Beach,-28°7.4,153°29.35,1.2,20,September,Tuesday
